timestamp,provider,model,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd
2026-04-24T23:32:47.533707,deepseek,deepseek-v4-flash,5,176,181,5e-05
2026-04-24T23:32:50.811231,deepseek,deepseek-v4-flash,147,204,351,7.8e-05
2026-04-24T23:32:57.929976,deepseek,deepseek-v4-flash,237,187,424,8.6e-05
2026-04-24T23:32:59.833324,deepseek,deepseek-v4-flash,232,112,344,6.4e-05
2026-04-24T23:33:10.993183,deepseek,deepseek-v4-flash,236,885,1121,0.000281
2026-04-24T23:33:14.805917,deepseek,deepseek-v4-flash,5,245,250,6.9e-05
2026-04-24T23:33:18.571485,deepseek,deepseek-v4-flash,147,253,400,9.1e-05
2026-04-24T23:33:26.470828,deepseek,deepseek-v4-flash,237,152,389,7.6e-05
2026-04-24T23:33:28.178094,deepseek,deepseek-v4-flash,232,108,340,6.3e-05
2026-04-24T23:33:31.055922,deepseek,deepseek-v4-flash,236,192,428,8.7e-05
2026-04-24T23:33:35.435261,deepseek,deepseek-v4-flash,5,287,292,8.1e-05
2026-04-24T23:33:39.956626,deepseek,deepseek-v4-flash,147,296,443,0.000103
2026-04-24T23:33:46.942269,deepseek,deepseek-v4-flash,237,171,408,8.1e-05
2026-04-24T23:33:49.376351,deepseek,deepseek-v4-flash,232,137,369,7.1e-05
2026-04-24T23:33:51.572166,deepseek,deepseek-v4-flash,236,138,374,7.2e-05
2026-04-24T23:33:54.963884,deepseek,deepseek-v4-flash,5,196,201,5.6e-05
2026-04-24T23:33:58.495076,deepseek,deepseek-v4-flash,147,222,369,8.3e-05
2026-04-24T23:34:08.776992,deepseek,deepseek-v4-flash,237,328,565,0.000125
2026-04-24T23:34:11.021130,deepseek,deepseek-v4-flash,232,138,370,7.1e-05
2026-04-24T23:34:15.092865,deepseek,deepseek-v4-flash,236,297,533,0.000116
2026-04-24T23:34:18.032417,deepseek,deepseek-v4-flash,5,149,154,4.2e-05
2026-04-24T23:34:22.234123,deepseek,deepseek-v4-flash,147,284,431,0.0001
2026-04-24T23:35:47.323526,deepseek,deepseek-v4-flash,237,223,460,9.6e-05
2026-04-24T23:35:51.462211,deepseek,deepseek-v4-flash,232,296,528,0.000115
2026-04-24T23:35:53.628711,deepseek,deepseek-v4-flash,236,140,376,7.2e-05
2026-04-24T23:35:56.200780,deepseek,deepseek-v4-flash,5,149,154,4.2e-05
2026-04-24T23:35:59.943537,deepseek,deepseek-v4-flash,147,247,394,9e-05
2026-04-24T23:36:08.015089,deepseek,deepseek-v4-flash,237,136,373,7.1e-05
2026-04-24T23:36:11.166408,deepseek,deepseek-v4-flash,232,221,453,9.4e-05
2026-04-24T23:36:13.103822,deepseek,deepseek-v4-flash,236,119,355,6.6e-05
2026-04-24T23:36:15.877573,deepseek,deepseek-v4-flash,5,169,174,4.8e-05
2026-04-24T23:36:18.611331,deepseek,deepseek-v4-flash,147,176,323,7e-05
2026-04-24T23:36:25.198908,deepseek,deepseek-v4-flash,237,160,397,7.8e-05
2026-04-24T23:36:28.371232,deepseek,deepseek-v4-flash,232,222,454,9.5e-05
2026-04-24T23:36:30.738077,deepseek,deepseek-v4-flash,236,161,397,7.8e-05
2026-04-24T23:36:33.154392,deepseek,deepseek-v4-flash,5,140,145,4e-05
2026-04-24T23:36:36.824395,deepseek,deepseek-v4-flash,147,266,413,9.5e-05
2026-04-24T23:36:44.432890,deepseek,deepseek-v4-flash,237,149,386,7.5e-05
2026-04-24T23:36:46.650565,deepseek,deepseek-v4-flash,232,145,377,7.3e-05
2026-04-24T23:36:49.860363,deepseek,deepseek-v4-flash,236,232,468,9.8e-05
2026-04-24T23:36:52.357751,deepseek,deepseek-v4-flash,5,154,159,4.4e-05
2026-04-24T23:36:55.626352,deepseek,deepseek-v4-flash,147,226,373,8.4e-05
2026-04-24T23:37:02.629810,deepseek,deepseek-v4-flash,237,217,454,9.4e-05
2026-04-24T23:37:06.982842,deepseek,deepseek-v4-flash,232,344,576,0.000129
2026-04-24T23:37:09.097642,deepseek,deepseek-v4-flash,236,144,380,7.3e-05
2026-04-24T23:37:11.996319,deepseek,deepseek-v4-flash,5,181,186,5.1e-05
2026-04-24T23:37:15.546924,deepseek,deepseek-v4-flash,147,239,386,8.8e-05
2026-04-24T23:37:23.426803,deepseek,deepseek-v4-flash,237,169,406,8.1e-05
2026-04-24T23:37:26.165493,deepseek,deepseek-v4-flash,232,188,420,8.5e-05
2026-04-24T23:37:28.374776,deepseek,deepseek-v4-flash,236,148,384,7.4e-05
2026-04-24T23:37:31.136229,deepseek,deepseek-v4-flash,5,159,164,4.5e-05
2026-04-24T23:37:35.922156,deepseek,deepseek-v4-flash,147,335,482,0.000114
2026-04-24T23:37:42.709435,deepseek,deepseek-v4-flash,237,177,414,8.3e-05
2026-04-24T23:37:44.862019,deepseek,deepseek-v4-flash,232,128,360,6.8e-05
2026-04-24T23:37:47.131952,deepseek,deepseek-v4-flash,236,155,391,7.6e-05
2026-04-24T23:37:49.791126,deepseek,deepseek-v4-flash,5,139,144,4e-05
2026-04-24T23:37:53.476152,deepseek,deepseek-v4-flash,147,257,404,9.3e-05
2026-04-24T23:38:02.405716,deepseek,deepseek-v4-flash,237,239,476,0.0001
2026-04-24T23:38:04.637396,deepseek,deepseek-v4-flash,232,147,379,7.4e-05
2026-04-24T23:38:06.991944,deepseek,deepseek-v4-flash,236,157,393,7.7e-05
2026-04-24T23:38:09.590532,deepseek,deepseek-v4-flash,5,155,160,4.4e-05
2026-04-24T23:38:13.699044,deepseek,deepseek-v4-flash,147,292,439,0.000102
2026-04-24T23:38:22.223581,deepseek,deepseek-v4-flash,237,347,584,0.00013
2026-04-24T23:38:24.440412,deepseek,deepseek-v4-flash,232,139,371,7.1e-05
2026-04-24T23:38:27.941865,deepseek,deepseek-v4-flash,236,253,489,0.000104
2026-04-24T23:38:30.691367,deepseek,deepseek-v4-flash,5,169,174,4.8e-05
2026-04-24T23:38:33.731638,deepseek,deepseek-v4-flash,147,190,337,7.4e-05
2026-04-24T23:38:41.815445,deepseek,deepseek-v4-flash,237,181,418,8.4e-05
2026-04-24T23:38:43.977626,deepseek,deepseek-v4-flash,232,141,373,7.2e-05
2026-04-24T23:38:46.117232,deepseek,deepseek-v4-flash,236,142,378,7.3e-05
2026-04-24T23:38:48.849392,deepseek,deepseek-v4-flash,5,164,169,4.7e-05
2026-04-24T23:38:52.074846,deepseek,deepseek-v4-flash,147,210,357,7.9e-05
2026-04-24T23:39:00.207321,deepseek,deepseek-v4-flash,237,286,523,0.000113
2026-04-24T23:39:03.827575,deepseek,deepseek-v4-flash,232,249,481,0.000102
2026-04-24T23:39:06.643683,deepseek,deepseek-v4-flash,236,194,430,8.7e-05
2026-04-24T23:39:08.999774,deepseek,deepseek-v4-flash,5,137,142,3.9e-05
2026-04-24T23:39:12.890842,deepseek,deepseek-v4-flash,147,267,414,9.5e-05
2026-04-24T23:39:21.052695,deepseek,deepseek-v4-flash,237,202,439,9e-05
2026-04-24T23:39:24.657605,deepseek,deepseek-v4-flash,232,250,482,0.000102
2026-04-24T23:39:27.365033,deepseek,deepseek-v4-flash,236,179,415,8.3e-05
2026-04-24T23:39:30.355266,deepseek,deepseek-v4-flash,5,177,182,5e-05
2026-04-24T23:39:33.303239,deepseek,deepseek-v4-flash,147,185,332,7.2e-05
2026-04-24T23:39:39.089658,deepseek,deepseek-v4-flash,237,134,371,7.1e-05
2026-04-24T23:39:40.947961,deepseek,deepseek-v4-flash,232,112,344,6.4e-05
2026-04-24T23:39:43.849501,deepseek,deepseek-v4-flash,236,201,437,8.9e-05
2026-04-24T23:39:46.509438,deepseek,deepseek-v4-flash,5,164,169,4.7e-05
2026-04-24T23:39:49.479445,deepseek,deepseek-v4-flash,147,188,335,7.3e-05
2026-04-24T23:39:57.964313,deepseek,deepseek-v4-flash,237,236,473,9.9e-05
2026-04-24T23:40:00.051182,deepseek,deepseek-v4-flash,232,136,368,7.1e-05
2026-04-24T23:40:02.923801,deepseek,deepseek-v4-flash,236,194,430,8.7e-05
2026-04-24T23:40:05.515643,deepseek,deepseek-v4-flash,5,143,148,4.1e-05
2026-04-24T23:40:09.602033,deepseek,deepseek-v4-flash,147,275,422,9.8e-05
2026-04-24T23:40:16.867143,deepseek,deepseek-v4-flash,237,236,473,9.9e-05
2026-04-24T23:40:19.853998,deepseek,deepseek-v4-flash,232,210,442,9.1e-05
2026-04-24T23:40:22.266143,deepseek,deepseek-v4-flash,236,162,398,7.8e-05
